e:generic:advancement_made_ocschoz	19	19	0	2.389787466013983	0.43627437602061514	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.35	0.273393361093103	0.8541666666666665	14	0	0	1786508500743	0	0.2973085466479722	0
e:generic:multimine_serverstoppingeven	2	1	1	0.8762165026393843	0.0	0.0	1.0	0.0	0.99611021101894	0.0	1.0	0.0	0.32199999999999995	0.42430627427161327	0.05833333333333333	0	0	0	1786508587361	0	0.42430627427161327	0
e:generic:changed_load	3	1	2	0.7656162307783704	0.9910788504027999	0.0	1.0	0.0	0.9958726021491487	0.8854789699526555	0.9957787976525385	0.0	0.29623999999999995	0.610358056070252	0.16249999999999998	2	0	1	1786508566889	0	0.6140070959679456	0
e:generic:changing_distance_view	5	2	3	0.9878423953203371	0.0	0.3085333333333333	0.918624	0.0	0.0	0.0	0.37170824419651916	0.31375459473041295	0.31872373333333337	0.18556947791775175	0.18333333333333335	1	0	1	1786504435904	0	0.1862745061380571	0
e:entity:item_load	34	3	31	7.643533754361534	0.9923301826006798	0.0	1.0	0.0	0.08876154318219281	0.0	0.7700315424042675	0.0	0.027763868178214926	0.5408541677054475	0.7749999999999999	2	1	2	1786506033651	1	0.625461282439	1786506033651
e:generic:keep_overloaded_running_ticks	2	2	0	0.8639119535695946	0.9844324981669699	0.88	1.0	0.0	0.9838830569258041	0.0	0.883516762765027	0.9031504686042497	0.99376	0.4519546937032145	0.13333333333333333	2	0	1	1786508563347	0	0.4519546937032145	0
e:block_entity:access_block_entity_tried	55	6	49	7.674036642908416	0.9994946187124475	0.0	1.0	0.9995414571433192	0.9991717135035633	0.9999999611992877	0.7734058416168874	0.0	0.01309854946143055	1.0	0.8875	5	0	3	1786508564224	0	1.0	0
e:entity:entity_skipping	1	1	0	0.9949066979452278	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.35	0.15827080140753524	0.06666666666666667	1	0	0	1786506037258	0	0.1585	0
e:network:moved_wrongly	1	1	0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.35	0.5585	0.06666666666666667	1	0	0	1786508506397	0	0.5585	0
u:advancement_list_loaded_repeat	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0324	0.3	65	0	64	0	0	0.0324	0
e:generic:death_player	1	1	0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.35	0.1585	0.029166666666666664	0	0	0	1786508577167	0	0.1585	0
e:generic:game_left_ocschoz	1	0	1	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.303	0.029166666666666664	0	0	0	1786508587317	0	0.303	0
e:generic:active_limits_spawn	1	1	0	0.9912090787549549	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.35	0.15810440854397298	0.06666666666666667	1	0	0	1786504428718	0	0.1585	0
e:entity:entity_marked_removed_tried	320	71	249	4.193683100610378	0.9722744388310844	1.949720759840098E-18	1.0	0.17643920172244468	0.41675210071111535	0.05319665448561803	0.8651741712016431	2.7754103203802096E-12	0.025614165237817774	0.6475791895333247	1.0	69	13	30	1786508586521	1	0.816710006238861	1786508580084
